origin,city,lat,long,num_flights,delay,,,,
SRQ,"Sarasota/Bradenton, FL",27.3954,-82.5544,3281,15,,,,
STL,"St. Louis, MO",38.7487,-90.37,55570,12,,,,
STT,"Charlotte Amalie, VI",18.3373,-64.9734,5006,13,,,,
STX,"Christiansted, VI",17.7019,-64.7986,1112,11,,,,
SUN,"Sun Valley/Hailey/Ketchum, ID",43.5044,-114.296,1254,13,,,,
SWF,"Newburgh/Poughkeepsie, NY",41.5041,-74.1048,736,15,,,,
SYR,"Syracuse, NY",43.1112,-76.1063,5881,13,,,,
TLH,"Tallahassee, FL",30.3965,-84.3503,2568,10,,,,
TPA,"Tampa, FL",27.9755,-82.5332,67966,12,,,,
TRI,"Bristol/Johnson City/Kingsport, TN",36.4752,-82.4074,2161,14,,,,
TTN,"Trenton, NJ",40.2767,-74.8135,2109,15,,,,
TUL,"Tulsa, OK",36.1984,-95.8881,13990,9,,,,
TUS,"Tucson, AZ",32.1161,-110.941,16083,11,,,,
TVC,"Traverse City, MI",44.7414,-85.5822,2225,13,,,,
TWF,"Twin Falls, ID",42.4818,-114.488,1096,8,,,,
TXK,"Texarkana, AR",33.4537,-93.991,855,17,,,,
TYR,"Tyler, TX",32.3541,-95.4024,414,5,,,,
TYS,"Knoxville, TN",35.811,-83.994,7217,13,,,,
UST,"St. Augustine, FL",29.9592,-81.3398,195,17,,,,
VLD,"Valdosta, GA",30.7825,-83.2767,1028,12,,,,
VPS,"Valparaiso, FL",30.4832,-86.5254,4210,11,,,,
WRG,"Wrangell, AK",56.4843,-132.37,728,8,,,,
WYS,"West Yellowstone, MT",44.6884,-111.118,224,8,,,,
XNA,"Fayetteville, AR",36.2819,-94.3068,5779,14,,,,
YAK,"Yakutat, AK",59.5033,-139.66,725,4,,,,
YUM,"Yuma, AZ",32.6566,-114.606,1960,6,,,,
